college,academic_year,term,course_code,section,course_name,instructor,time,url
Carleton College,2021-22,F,CS 100,00,Ethics of Technology,Amy Csizmar Dalal,MW 9:50am-11:00am (Olin 304); F 9:40am-10:40am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 111,01,Introduction to Computer Science,Staff,MW 11:10am-12:20pm (CMC 102); F 12:00pm-1:00pm (CMC 102),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 111,02,Introduction to Computer Science,Staff,MW 3:10pm-4:20pm (Anderson Hall 036); F 3:30pm-4:30pm (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 111,03,Introduction to Computer Science,David Liben-Nowell,MW 8:30am-9:40am (Anderson Hall 036); F 8:30am-9:30am (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 201,01,Data Structures,Anya Vostinar,MW 9:50am-11:00am (Olin 310); F 9:40am-10:40am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 201,02,Data Structures,Anya Vostinar,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 202,00,Mathematics of Computer Science,Layla Oesper,MW 9:50am-11:00am (Leighton 305); F 9:40am-10:40am (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 208,00,Introduction to Computer Systems,Staff,MW 12:30pm-1:40pm (Leighton 305); F 1:10pm-2:10pm (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 251,00,Programming Languages: Design and Implementation,Staff,MW 1:50pm-3:00pm (Anderson Hall 329); F 2:20pm-3:20pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 252,00,Algorithms,David Liben-Nowell,MW 11:10am-12:20pm (Leighton 304); F 12:00pm-1:00pm (Leighton 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 257,00,Software Design,Jeff Ondich,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 321,00,Making Decisions with Artificial Intelligence,David Musicant,MW 1:50pm-3:00pm (Anderson Hall 036); F 2:20pm-3:20pm (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 362,00,Computational Biology,Layla Oesper,MW 12:30pm-1:40pm (Anderson Hall 121); F 1:10pm-2:10pm (Anderson Hall 121),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 399,01,Senior Seminar,Jeff Ondich,TH 8:30am-9:30am (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 399,02,Senior Seminar,Jeff Ondich,TH 9:30am-10:30am (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 399,03,Senior Seminar,Jeff Ondich,TH 3:00pm-4:00pm (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 399,04,Senior Seminar,David Musicant,TTH 9:00am-10:00am (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 399,05,Senior Seminar,David Musicant,TTH 10:00am-11:00am (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,CS 399,06,Senior Seminar,David Musicant,TTH 11:00am-12:00pm (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,F,PHYS 343,59,Electronics and Lab,Melissa Eblen-Zayas,MW 11:10am-12:20pm (Anderson Hall 027); TH 8:00am-12:00pm (Anderson Hall 027); F 12:00pm-1:00pm (Anderson Hall 027),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 111,01,Introduction to Computer Science,Anya Vostinar,MW 1:50pm-3:00pm (Olin 310); F 2:20pm-3:20pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 111,02,Introduction to Computer Science,David Liben-Nowell,MW 9:50am-11:00am (Leighton 305); F 9:40am-10:40am (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 111,03,Introduction to Computer Science,David Liben-Nowell,MW 11:10am-12:20pm (Leighton 305); F 12:00pm-1:00pm (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 201,01,Data Structures,Layla Oesper,MW 9:50am-11:00am (CMC 306); F 9:40am-10:40am (CMC 306),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 201,02,Data Structures,Staff,MW 3:10pm-4:20pm (Anderson Hall 036); F 3:30pm-4:30pm (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 202,00,Mathematics of Computer Science,Eric Alexander,MW 12:30pm-1:40pm (Anderson Hall 121); F 1:10pm-2:10pm (Anderson Hall 121),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 208,00,Introduction to Computer Systems,Jeff Ondich,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 232,00,"Art, Interactivity, and Robotics","David Musicant, Stephen Mohring",TTH 1:15pm-3:45pm (Boliou 160); TTH 1:15pm-3:45pm (Boliou 104),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 251,00,Programming Languages: Design and Implementation,Staff,MW 9:50am-11:00am (Olin 310); F 9:40am-10:40am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 252,00,Algorithms,Layla Oesper,MW 12:30pm-1:40pm (Anderson Hall 329); F 1:10pm-2:10pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 254,00,Computability and Complexity,Staff,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 257,00,Software Design,Amy Csizmar Dalal,MW 1:50pm-3:00pm (Weitz Center 235); F 2:20pm-3:20pm (Weitz Center 235),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 294,00,CS Tea Colloquium,David Liben-Nowell,,https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 332,00,Operating Systems,Staff,MW 12:30pm-1:40pm (CMC 301); F 1:10pm-2:10pm (CMC 301),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 358,00,Quantum Computing,Josh Davis,MW 9:50am-11:00am (CMC 304); F 9:40am-10:40am (CMC 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 399,01,Senior Seminar,Anya Vostinar,TTH 11:30am-12:30pm (Olin 302),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 399,02,Senior Seminar,Anya Vostinar,TTH 12:31pm-1:30pm (Olin 302),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 399,03,Senior Seminar,Anya Vostinar,TTH 1:31pm-2:31pm (Olin 302),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 399,04,Senior Seminar,Staff,T 11:00am-12:00pm (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 399,05,Senior Seminar,Amy Csizmar Dalal,TH 9:00am-10:00am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 400,01,Integrative Exercise,Jeff Ondich,TH 8:30am-9:30am (Olin 302),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 400,02,Integrative Exercise,Jeff Ondich,TH 9:30am-10:30am (Olin 302),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 400,03,Integrative Exercise,Jeff Ondich,TH 3:00pm-4:00pm (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 400,04,Integrative Exercise,David Musicant,TTH 9:00am-10:00am (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 400,05,Integrative Exercise,David Musicant,TTH 10:00am-11:00am (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,W,CS 400,06,Integrative Exercise,David Musicant,TTH 11:00am-12:00pm (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 111,01,Introduction to Computer Science,Staff,MW 1:50pm-3:00pm (Olin 310); F 2:20pm-3:20pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 111,02,Introduction to Computer Science,David Musicant,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 111,03,Introduction to Computer Science,Anna Rafferty,MW 12:30pm-1:40pm (Olin 310); F 1:10pm-2:10pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 201,01,Data Structures,Eric Alexander,MW 12:30pm-1:40pm (Anderson Hall 329); F 1:10pm-2:10pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 201,02,Data Structures,Anna Rafferty,MW 9:50am-11:00am (Leighton 305); F 9:40am-10:40am (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 202,00,Mathematics of Computer Science,Layla Oesper,MW 12:30pm-1:40pm (Anderson Hall 121); F 1:10pm-2:10pm (Anderson Hall 121),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 208,00,Introduction to Computer Systems,Staff,MW 1:50pm-3:00pm (Leighton 402); F 2:20pm-3:20pm (Leighton 402),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 251,00,Programming Languages: Design and Implementation,David Musicant,MW 1:50pm-3:00pm (Anderson Hall 329); F 2:20pm-3:20pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 252,00,Algorithms,David Liben-Nowell,MW 8:30am-9:40am (CMC 301); F 8:30am-9:30am (CMC 301),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 254,00,Computability and Complexity,Staff,MW 11:10am-12:20pm (Anderson Hall 329); F 12:00pm-1:00pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 257,00,Software Design,Anya Vostinar,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 294,00,CS Tea Colloquium,David Liben-Nowell,TH 4:00pm-5:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 338,00,Computer Security,Jeff Ondich,MW 9:50am-11:00am (Olin 310); F 9:40am-10:40am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 344,00,Human-Computer Interaction,Eric Alexander,MW 9:50am-11:00am (Weitz Center 235); F 9:40am-10:40am (Weitz Center 235),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 352,00,Advanced Algorithms,David Liben-Nowell,MW 11:10am-12:20pm (Leighton 304); F 12:00pm-1:00pm (Leighton 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 400,01,Integrative Exercise,Anya Vostinar,T 2:30pm-3:30pm (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 400,02,Integrative Exercise,Anya Vostinar,T 12:30pm-1:30pm (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 400,03,Integrative Exercise,Anya Vostinar,T 1:30pm-2:30pm (Olin 312),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 400,04,Integrative Exercise,Staff,T 11:00am-12:00pm (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,S,CS 400,05,Integrative Exercise,Amy Csizmar Dalal,TH 9:00am-10:00am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,Su,CS 099,00,Summer Computer Science,David Musicant,,https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,Su,CS 301,07,History of Computing in England Program: History of Computing,David Liben-Nowell,,https://www.carleton.edu/catalog/current/search/
Carleton College,2021-22,Su,CS 341,07,History of Computing in England Program: Cryptography,David Liben-Nowell,,https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 100,00,"The Internet: Protocols, Platforms, and People",Sneha Narayan,MW 12:30pm-1:40pm (Olin 304); F 1:10pm-2:10pm (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 111,01,Introduction to Computer Science,David Musicant,MW 1:50pm-3:00pm (Olin 310); F 2:20pm-3:20pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 111,02,Introduction to Computer Science,David Musicant,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 111,03,Introduction to Computer Science,Anya Vostinar,MW 12:30pm-1:40pm (Olin 310); F 1:10pm-2:10pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 201,01,Data Structures,Richard Wells,MW 1:50pm-3:00pm (Anderson Hall 329); F 2:20pm-3:20pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 201,02,Data Structures,Richard Wells,MW 11:10am-12:20pm (Leighton 305); F 12:00pm-1:00pm (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 202,00,Mathematics of Computer Science,Eric Alexander,MW 1:50pm-3:00pm (Anderson Hall 036); F 2:20pm-3:20pm (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 251,00,Programming Languages: Design and Implementation,Anna Rafferty,MW 8:30am-9:40am (Anderson Hall 036); F 8:30am-9:30am (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 252,00,Algorithms,Jeff Ondich,MW 11:10am-12:20pm (Leighton 304); F 12:00pm-1:00pm (Leighton 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 254,00,Computability and Complexity,Josh Davis,MW 9:50am-11:00am (Leighton 305); F 9:40am-10:40am (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 257,00,Software Design,Jeff Ondich,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 294,00,CS Tea Colloquium,Anna Rafferty,TH 3:30pm-4:30pm (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 311,00,Computer Graphics,Josh Davis,MW 1:50pm-3:00pm (CMC 301); F 2:20pm-3:20pm (CMC 301),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 361,00,Artificial Life and Digital Evolution,Anya Vostinar,MW 9:50am-11:00am (Olin 310); F 9:40am-10:40am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,01,Senior Seminar,Amy Csizmar Dalal,TTH 8:15am-10:00am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,02,Senior Seminar,Amy Csizmar Dalal,TTH 8:15am-10:00am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,03,Senior Seminar,Amy Csizmar Dalal,TTH 8:15am-10:00am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,04,Senior Seminar,Sneha Narayan,TTH 1:15pm-3:00pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,05,Senior Seminar,Sneha Narayan,TTH 1:15pm-3:00pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,06,Senior Seminar,Sneha Narayan,TTH 1:15pm-3:00pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,08,Senior Seminar,Eric Alexander,TTH 8:15am-10:00am (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,09,Senior Seminar,Eric Alexander,TTH 8:15am-10:00am (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,10,Senior Seminar,Eric Alexander,TTH 8:15am-10:00am (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 399,11,Senior Seminar,Anna Rafferty,MW 12:30pm-1:40pm (Olin 308); F 1:10pm-2:10pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 400,00,Integrative Exercise,Anna Rafferty,MW 12:30pm-1:40pm (Olin 308); F 1:10pm-2:10pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,F,CS 400,02,Integrative Exercise,Jeff Ondich,,https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 111,01,Introduction to Computer Science,Richard Wells,MW 1:50pm-3:00pm (Olin 310); F 2:20pm-3:20pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 111,02,Introduction to Computer Science,Richard Wells,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 201,01,Data Structures,Kiran Tomlinson,MW 12:30pm-1:40pm (Anderson Hall 121); F 1:10pm-2:10pm (Anderson Hall 121),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 201,02,Data Structures,Kiran Tomlinson,MW 3:10pm-4:20pm (Anderson Hall 121); F 3:30pm-4:30pm (Anderson Hall 121),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 202,00,Mathematics of Computer Science,Eric Alexander,MW 11:10am-12:20pm (Anderson Hall 329); F 12:00pm-1:00pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 208,00,Introduction to Computer Systems,Jeff Ondich,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 251,00,Programming Languages: Design and Implementation,David Musicant,MW 11:10am-12:20pm (Leighton 305); F 12:00pm-1:00pm (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 252,00,Algorithms,Sneha Narayan,MW 1:50pm-3:00pm (Anderson Hall 121); F 2:20pm-3:20pm (Anderson Hall 121),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 254,00,Computability and Complexity,Anna Rafferty,MW 9:50am-11:00am (CMC 210); F 9:40am-10:40am (CMC 210),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 257,00,Software Design,Amy Csizmar Dalal,MW 12:30pm-1:40pm (Weitz Center 235); F 1:10pm-2:10pm (Weitz Center 235),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 294,00,CS Tea Colloquium,Anna Rafferty,TH 3:30pm-4:30pm (Location To Be Announced TBA),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 321,00,Making Decisions with Artificial Intelligence,David Musicant,MW 12:30pm-1:40pm (Leighton 305); F 1:10pm-2:10pm (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 348,00,Parallel and Distributed Computing,Staff,MW 1:50pm-3:00pm (CMC 210); F 2:20pm-3:20pm (CMC 210),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 399,01,Senior Seminar,Jeff Ondich,MW 11:10am-12:20pm (Olin 304); F 12:00pm-1:00pm (Olin 04),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,01,Integrative Exercise,Amy Csizmar Dalal,T 9:00am-10:00am (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,02,Integrative Exercise,Amy Csizmar Dalal,TH 9:00am-10:00am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,03,Integrative Exercise,Amy Csizmar Dalal,T 3:15pm-4:15pm (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,04,Integrative Exercise,Sneha Narayan,TTH 1:15pm-3:00pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,05,Integrative Exercise,Sneha Narayan,TTH 1:15pm-3:00pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,06,Integrative Exercise,Sneha Narayan,TTH 1:15pm-3:00pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,08,Integrative Exercise,Eric Alexander,TTH 1:15pm-2:15pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,09,Integrative Exercise,Eric Alexander,TTH 2:25pm-3:25pm (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,10,Integrative Exercise,Eric Alexander,TTH 9:00am-10:00am (Olin 308),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,W,CS 400,11,Integrative Exercise,Jeff Ondich,MW 11:10am-12:20pm (Olin 304); F 12:00pm-1:00pm (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 111,01,Introduction to Computer Science,Richard Wells,MW 1:50pm-3:00pm (Olin 310); F 2:20pm-3:20pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 111,02,Introduction to Computer Science,Sneha Narayan,MW 9:50am-11:00am (Olin 310); F 9:40am-10:40am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 111,03,Introduction to Computer Science,Amy Csizmar Dalal,MW 12:30pm-1:40pm (Olin 310); F 1:10pm-2:10pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 201,01,Data Structures,Kiran Tomlinson,MW 1:50pm-3:00pm (Anderson Hall 329); F 2:20pm-3:20pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 201,02,Data Structures,Richard Wells,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 202,00,Mathematics of Computer Science,Kiran Tomlinson,MW 11:10am-12:20pm (CMC 301); F 12:00pm-1:00pm (CMC 301),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 208,00,Introduction to Computer Systems,Jeff Ondich,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 252,00,Algorithms,Eric Alexander,MW 11:10am-12:20pm (Anderson Hall 036); F 12:00pm-1:00pm (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 254,00,Computability and Complexity,Anna Rafferty,MW 9:50am-11:00am (CMC 301); F 9:40am-10:40am (CMC 301),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 257,00,Software Design,Amy Csizmar Dalal,MW 9:50am-11:00am (Weitz Center 235); F 9:40am-10:40am (Weitz Center 235),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 294,00,CS Tea Colloquium,Anna Rafferty,TH 3:30pm-4:30pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 304,00,Social Computing,Sneha Narayan,MW 12:30pm-1:40pm (CMC 306); F 1:10pm-2:10pm (CMC 306),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 314,00,Data Visualization,Eric Alexander,MW 1:50pm-3:00pm (Weitz Center 235); F 2:20pm-3:20pm (Weitz Center 235),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 321,00,Making Decisions with Artificial Intelligence,David Musicant,MW 11:10am-12:20pm (Leighton 305); F 12:00pm-1:00pm (Leighton 305),https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,S,CS 400,00,Integrative Exercise,Sneha Narayan,,https://www.carleton.edu/catalog/current/search/
Carleton College,2022-23,Su,CS 099,00,Summer Computer Science,David Musicant,,https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 100,00,Ethics of Technology,Amy Csizmar Dalal,MW 11:10am-12:20pm (Olin 304); F 12:00pm-1:00pm (Olin 304),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 111,01,Introduction to Computer Science,Sneha Narayan,MW 1:50pm-3:00pm (Olin 310); F 2:20pm-3:20pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 111,02,Introduction to Computer Science,Staff,MW 9:50am-11:00am (Olin 310); F 9:40am-10:40am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 111,03,Introduction to Computer Science,Staff,MW 11:10am-12:20pm (Olin 310); F 12:00pm-1:00pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 201,01,Data Structures,Staff,MW 12:30pm-1:40pm (Olin 310); F 1:10pm-2:10pm (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 201,02,Data Structures,Eric Alexander,MW 9:50am-11:00am (Anderson Hall 329); F 9:40am-10:40am (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 202,00,Mathematics of Computer Science,Sneha Narayan,MW 11:10am-12:20pm (Anderson Hall 329); F 12:00pm-1:00pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 208,00,Introduction to Computer Systems,Tanya Amert,MW 12:30pm-1:40pm (Language & Dining Center 104); F 1:10pm-2:10pm (Language & Dining Center 104),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 208,02,Introduction to Computer Systems,Jeff Ondich,MW 11:10am-12:20pm (Leighton 402); F 12:00pm-1:00pm (Leighton 402),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 232,00,"Art, Interactivity, and Microcontrollers","David Musicant, Stephen Mohring",TTH 9:00am-11:30am (Boliou 160),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 251,00,Programming Languages: Design and Implementation,David Musicant,MW 1:50pm-3:00pm (Anderson Hall 329); F 2:20pm-3:20pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 252,00,Algorithms,Layla Oesper,MW 12:30pm-1:40pm (Olin 149); F 1:10pm-2:10pm (Olin 149),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 257,00,Software Design,Anya Vostinar,MW 8:30am-9:40am (Olin 310); F 8:30am-9:30am (Olin 310),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 294,00,CS Tea Colloquium,Layla Oesper,TH 3:30pm-4:45pm (Anderson Hall 329),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 320,00,Machine Learning,Anna Rafferty,MW 9:50am-11:00am (Language & Dining Center 104); F 9:40am-10:40am (Language & Dining Center 104),https://www.carleton.edu/catalog/current/search/
Carleton College,2023-24,F,CS 338,00,Computer Security,Jeff Ondich,MW 8:30am-9:40am (Anderson Hall 036); F 8:30am-9:30am (Anderson Hall 036),https://www.carleton.edu/catalog/current/search/
