college,academic_year,term,course_code,section,course_name,instructor,time,url
Mount Holyoke College,2021-22,F,COMSC-100,01,Computing & the Digital World,Shruti Biswal,"Lecture Monday, Friday 11:30AM - 12:45PM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-107,01,iDesign Learning Lab,Audrey Lee St. John,"Lecture Monday, Wednesday, Friday 08:30AM - 09:45AM, Prospect Hall, Room 037",
Mount Holyoke College,2021-22,F,COMSC-132,01,Engineering for Everyone,R Koh,"Lecture Tuesday 01:45PM - 03:00PM, Prospect Hall, Room 037 Laboratory Thursday 01:45PM - 04:20PM, Prospect Hall, Room 039",
Mount Holyoke College,2021-22,F,COMSC-150,01,Intro to Computer Science,Audrey Lee St. John,"Lecture Monday, Wednesday, Friday 10:00AM - 11:15AM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-151DS,01,Intro CS: Big Data,Barbara Lerner,"Lecture Monday, Wednesday 10:00AM - 11:15AM, Cleveland, Room 003L",
Mount Holyoke College,2021-22,F,COMSC-151DSL,01,Intro CS: Big Data Lab,Charles Romer,"Laboratory Wednesday 01:30PM - 04:20PM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-151DSL,02,Intro CS: Big Data Lab,Charles Romer,"Laboratory Thursday 01:30PM - 04:20PM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-151SG,01,Intro CS: Social Good,Barbara Lerner,"Lecture Monday, Wednesday 08:30AM - 09:45AM, Cleveland, Room 001L",
Mount Holyoke College,2021-22,F,COMSC-151SGL,01,Intro CS: Social Good Lab,Charles Romer,"Laboratory Monday 01:30PM - 04:20PM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-151SGL,02,Intro CS: Social Good Lab,Charles Romer,"Laboratory Tuesday 01:30PM - 04:20PM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-161,01,Intro CS: OOP,Audrey Lee St. John,"Lecture Monday, Wednesday, Friday 08:30AM - 09:45AM, Kendade, Room 307",
Mount Holyoke College,2021-22,F,COMSC-205,01,Data Structures,Ozan Erat,"Lecture Monday, Wednesday 10:00AM - 11:15AM, Clapp Laboratory, Room 206",
Mount Holyoke College,2021-22,F,COMSC-205L,01,Data Structures Lab,Tayloe Tayloe,"Laboratory Monday 01:30PM - 04:20PM, Clapp Laboratory, Room 202",
Mount Holyoke College,2021-22,F,COMSC-205L,02,Data Structures Lab,Tayloe Tayloe,"Laboratory Wednesday 01:30PM - 04:20PM, Clapp Laboratory, Room 202",
Mount Holyoke College,2021-22,F,COMSC-221,01,Intro to Computing Systems,Lisa Ballesteros,"Lecture Tuesday, Thursday 03:15PM - 04:30PM, Clapp Laboratory, Room 206",
