college,academic_year,term,course_code,section,course_name,instructor,time,url
University of North Carolina Asheville,2021-22,F,CSCI 182,001,Intro Programming: Media Appl,"Rashid, Farzana",MWF 16:30-17:45 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 182,002,Intro Programming: Media Appl,"Rashid, Farzana",MWF 18:00-19:15 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 183,001,Intro Programming: Numerical,"Yuan, Juefei",MWF 13:30-14:45 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 183,002,Intro Programming: Numerical,"Yuan, Juefei",MWF 19:30-20:45 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 185,001,Intro Programming: Web Develop,"Rashid, Farzana",MWF 13:30-14:45 (KAR 037),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 201,001,Intro to Object-Oriented Programming,"Bogert, Kenneth",MWF 13:30-14:45 (RRO 223),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 201,002,Intro to Object-Oriented Progr,"Bogert, Kenneth",MWF 15:00-16:15 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 202,001,Intro to Data Structures,"Sheaffer, Charles",MWF 16:30-17:45 (KAR 037),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 202,002,Intro to Data Structures,"Sheaffer, Charles",MWF 19:30-20:45 (KAR 037),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 235,001,Systems I,"Sheaffer, Charles",MWF 13:30-14:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 280,001,Computer Science Seminar,"Sanft, Kevin",W 16:30-17:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 312,001,Intro Artificial Intelligence,"Cameron, Marietta",TR 12:00-13:40 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 333,001,Algorithms and Data Structures,"Whitley, Adam",MWF 18:00-19:15 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 335,001,Systems II,"Sanft, Kevin",TR 17:20-19:00 (RRO 217); TR 17:20-19:00 (RRO 223),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 338,001,Software Engineering,"Yuan, Juefei",MWF 16:30-17:45 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 343,001,Database Management Systems,"Bogert, Kenneth",MWF 18:00-19:15 (KAR 038),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 373,001,ST: Data Science,"Sanft, Kevin",TR 13:55-15:35 (RRO 217); TR 13:55-15:35 (RRO 209),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 434,001,Theory of Computation,"Whitley, Adam",TR 19:15-20:55 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 480,001,Capstone I,"Whitley, Adam",MW 13:30-14:45 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 480,002,Capstone I,"Whitley, Adam",MW 15:00-16:15 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 481,001,Capstone II,"Sanft, Kevin",MF 16:30-17:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 499,001,UGR in CSCI: Computational Aesthetics *Permission of Instructor Required,"Cameron, Marietta",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 499,002,UGR in CSCI: Computational Biology *Permission of Instructor Required,"Cameron, Marietta",(RRO 216),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 499,003,UGR in CSCI: Game Development *Permission of Instructor Required,"Whitley, Adam",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 499,004,UGR in CSCI: Data Analytics *Permission of Instructor Required,"Sanft, Kevin",(RRO 216),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 499,005,UGR in CSCI: Data Analytics *Permission of Instructor Required,"Sanft, Kevin",(RRO 216),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,F,CSCI 499,006,UGR in CSCI: Game Design *Permission of Instructor Required,"Whitley, Adam",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2021/fall
University of North Carolina Asheville,2021-22,S,CSCI 182,001,Intro to Programming: Media Applications,"Whitley, Adam",MWF 15:00-16:15 (KAR 037),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 182,002,Intro to Programming: Media Applications,"Whitley, Adam",MWF 16:30-17:45 (KAR 037),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 183,001,Intro to Programming: Numerical Applications,"Yuan, Juefei",MWF 13:30-14:45 (KAR 037),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 183,002,Intro to Programming: Numerical Applications,"Yuan, Juefei",MWF 16:30-17:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 185,001,Intro Programming: Web Development,"Rashid, Farzana",MWF 12:00-13:15 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 201,001,Intro to Object-Oriented Programming,"Bogert, Kenneth",MWF 13:30-14:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 201,002,Intro to Object-Oriented Progr,"Bogert, Kenneth",MWF 15:00-16:15 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 202,001,Intro to Data Structures,"Sanft, Kevin",MWF 15:00-16:15 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 202,002,Intro to Data Structures,"Sanft, Kevin",MWF 16:30-17:45 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 235,001,Systems I,"Sanft, Kevin",MWF 12:00-13:15 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 280,001,Computer Science Seminar,"Bogert, Kenneth",W 18:00-19:15 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 313,001,Virtual Reality,"Bradbury, Victoria",TR 13:55-15:35 (RRO 223),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 329,001,Big Data Analytics,"Lee, Jimin",MW 16:30-17:45 (RRO 211),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 333,001,Algorithms and Data Structures,"Whitley, Adam",MWF 19:30-20:45 (RRO 210),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 338,001,Software Engineering,"Yuan, Juefei",MWF 19:30-20:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 344,001,Advanced Web Technology,"Rashid, Farzana",MWF 13:30-14:45 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 346,001,Computer Graphics,"Cameron, Marietta",TR 12:00-13:40 (RRO 217),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 374,001,ST: Community Team Project *Permission of Instructor Required,"Sanft, Becky",TR 13:55-15:35 (RRO 212),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 431,001,Org of Programming Languages,"Rashid, Farzana",TR 17:20-19:00 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 480,001,Capstone I,"Bogert, Kenneth",MF 18:00-19:15 (KAR 036),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 481,001,Capstone II,"Cameron, Marietta",MF 12:00-13:15 (DEL 219),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 481,002,Capstone II,"Cameron, Marietta",WF 12:00-13:15 (DEL 219),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 499,001,UGR in CSCI: Computational Aesthetics *Permission of Instructor Required,"Cameron, Marietta",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 499,002,UGR in CSCI: Computational Biology *Permission of Instructor Required,"Sanft, Kevin",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 499,003,UGR in CSCI: Game Development *Permission of Instructor Required,"Whitley, Adam",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 499,004,UGR in CSCI: Data Analytics *Permission of Instructor Required,"Sanft, Kevin",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,S,CSCI 499,005,UGR in CSCI: Game Design *Permission of Instructor Required,"Whitley, Adam",(ONLINE),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/spring
University of North Carolina Asheville,2021-22,Su,CSCI 313,001,Virtual Reality,"Bradbury, Victoria",MTWRF 15:15-17:45 (RRO 223),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/summer
University of North Carolina Asheville,2021-22,Su,CSCI 371,0X1,ST: Computational Biology,"Sanft, Kevin",,https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/summer
University of North Carolina Asheville,2021-22,Su,CSCI 499,001,Undergrad Research in CSCI: CyberSecurity via CodePath *Permission of Instructor,"Cameron, Marietta",(RRO 216),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/summer
University of North Carolina Asheville,2022-23,F,CSCI 182,001,Intro Programming: Media Appl,"Whitley, Adam",MWF 15:00-16:15 (ZEI 201),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 182,002,Intro Programming: Media Appl,"Whitley, Adam",MWF 16:30-17:45 (ZEI 201),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 183,002,Intro Programming: Numerical,"Sarris, Michael",MWF 18:00-19:15 (ZEI 203),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 183,003,Intro Programming: Numerical,"Sarris, Michael",MWF 19:30-20:45 (ZEI 201),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 185,001,Intro Programming: Web Develop,"Van Wart, Sarah",MWF 16:30-17:45 (ZEI 203),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 185,002,Intro Programming: Web Develop,"Van Wart, Sarah",MWF 19:30-20:45 (ZEI 203),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 201,001,Intro to Object-Oriented Programming,"Rashid, Farzana",MWF 15:00-16:15 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 201,002,Intro to Object-Oriented Programming,"Bogert, Kenneth",MWF 16:30-17:45 (WHI 008),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 202,001,Intro to Data Structures,"Sanft, Kevin",MWF 13:30-14:45 (ZEI 203),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 202,002,Intro to Data Structures,"Sanft, Kevin",MWF 15:00-16:15 (ZEI 203),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 235,001,Systems I,"Sarris, Michael",MWF 13:30-14:45 (ZEI 201),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 280,001,Computer Science Seminar,"Bogert, Kenneth",W 13:30-14:45 (KAR 206),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 333,001,Algorithms and Data Structures,"Van Wart, Sarah",MWF 12:00-13:15 (ZEI 201),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
University of North Carolina Asheville,2022-23,F,CSCI 335,001,Systems II,"Sanft, Kevin",TR 13:55-15:35 (RRO 223),https://meteor.unca.edu/registrar/class-schedules/api/v1/courses/2022/fall
